SPECIES,LO,HI,TIME_rel,KG_HR,DAYS,KG_HR_DAY
GRMA,>=0.32,<0.36,0.32,14.71333333,79,0.186244726
GRMA,>=0.36,<0.4,0.36,11.63333333,79,0.147257384
GRMA,>=0.4,<0.44,0.4,15.63333333,79,0.197890295
GRMA,>=0.44,<0.48,0.44,7.066666667,79,0.089451477
GRMA,>=0.48,<0.52,0.48,14.16666667,79,0.179324895
GRMA,>=0.52,<0.56,0.52,6.8,79,0.086075949
GRMA,>=0.56,<0.6,0.56,5.266666667,79,0.066666667
GRMA,>=0.6,<0.64,0.6,8.5,79,0.107594937
GRMA,>=0.64,<0.68,0.64,4.5,79,0.056962025
GRMA,>=0.68,<0.72,0.68,3.166666667,79,0.040084388
GRMA,>=0.72,<0.76,0.72,5.6,79,0.070886076
GRMA,>=0.76,<0.8,0.76,1.6,79,0.020253165
GRMA,>=0.8,<0.84,0.8,3.6,79,0.04556962
GRMA,>=0.84,<0.88,0.84,3.2,79,0.040506329
GRMA,>=0.88,<0.92,0.88,2.666666667,79,0.033755274
GRMA,>=0.92,<0.96,0.92,0.433333333,79,0.005485232
GRMA,>=0.96,<1,0.96,0,79,0
GRMA,>=1,<0,1,0,79,0
SCMA,>=0,<0.04,0,1.556333333,79,0.019700422
SCMA,>=0.04,<0.08,0.04,0.169166667,79,0.00214135
SCMA,>=0.08,<0.12,0.08,0.845833333,79,0.010706751
SCMA,>=0.12,<0.16,0.12,5.244166667,79,0.066381857
SCMA,>=0.16,<0.2,0.16,1.97925,79,0.025053797
SCMA,>=0.2,<0.24,0.2,1.911583333,79,0.024197257
SCMA,>=0.24,<0.28,0.24,1.285666667,79,0.016274262
SCMA,>=0.28,<0.32,0.28,4.652083333,79,0.058887131
SCMA,>=0.32,<0.36,0.32,4.398333333,79,0.055675105
SCMA,>=0.36,<0.4,0.36,3.80625,79,0.04818038
SCMA,>=0.4,<0.44,0.4,8.88125,79,0.112420886
SCMA,>=0.44,<0.48,0.44,2.368333333,79,0.029978903
SCMA,>=0.48,<0.52,0.48,8.458333333,79,0.107067511
SCMA,>=0.52,<0.56,0.52,4.144583333,79,0.05246308
SCMA,>=0.56,<0.6,0.56,10.43758333,79,0.132121308
SCMA,>=0.6,<0.64,0.6,3.80625,79,0.04818038
SCMA,>=0.64,<0.68,0.64,7.443333333,79,0.094219409
SCMA,>=0.68,<0.72,0.68,5.83625,79,0.073876582
SCMA,>=0.72,<0.76,0.72,5.768583333,79,0.073020042
SCMA,>=0.76,<0.8,0.76,4.229166667,79,0.053533755
SCMA,>=0.8,<0.84,0.8,2.013083333,79,0.025482068
SCMA,>=0.84,<0.88,0.84,2.622083333,79,0.033190928
SCMA,>=0.88,<0.92,0.88,1.454833333,79,0.018415612
SCMA,>=0.92,<0.96,0.92,1.77625,79,0.022484177
SCMA,>=0.96,<1,0.96,0,79,0
SCMA,>=1,<0,1,0,79,0
YCPA,>=0,<0.04,0,17.51,79,0.22164557
YCPA,>=0.04,<0.08,0.04,24.99,79,0.316329114
YCPA,>=0.08,<0.12,0.08,32.1725,79,0.407246835
YCPA,>=0.12,<0.16,0.12,26.945,79,0.341075949
YCPA,>=0.16,<0.2,0.16,21.182,79,0.268126582
YCPA,>=0.2,<0.24,0.2,18.785,79,0.23778481
YCPA,>=0.24,<0.28,0.24,17.6375,79,0.223259494
YCPA,>=0.28,<0.32,0.28,10.115,79,0.128037975
YCPA,>=0.32,<0.36,0.32,9.0185,79,0.114158228
YCPA,>=0.36,<0.4,0.36,5.865,79,0.074240506
YCPA,>=0.4,<0.44,0.4,7.055,79,0.089303797
YCPA,>=0.44,<0.48,0.44,2.6775,79,0.033892405
YCPA,>=0.48,<0.52,0.48,12.5375,79,0.158702532
YCPA,>=0.52,<0.56,0.52,1.275,79,0.016139241
YCPA,>=0.56,<0.6,0.56,4.335,79,0.054873418
YCPA,>=0.6,<0.64,0.6,4.165,79,0.052721519
YCPA,>=0.64,<0.68,0.64,3.2725,79,0.041424051
YCPA,>=0.68,<0.72,0.68,0.765,79,0.009683544
YCPA,>=0.72,<0.76,0.72,2.1675,79,0.027436709
YCPA,>=0.76,<0.8,0.76,0.4675,79,0.005917722
YCPA,>=0.8,<0.84,0.8,0.9775,79,0.012373418
YCPA,>=0.84,<0.88,0.84,0.6375,79,0.00806962
YCPA,>=0.88,<0.92,0.88,0.7225,79,0.00914557
YCPA,>=0.92,<0.96,0.92,0.17,79,0.002151899
YCPA,>=0.96,<1,0.96,0,79,0
YCPA,>=1,<0,1,0,79,0
BYMA,>=0,<0.04,0,4.575,79,0.057911392
BYMA,>=0.04,<0.08,0.04,4.21875,79,0.053401899
BYMA,>=0.08,<0.12,0.08,6.09375,79,0.077136076
BYMA,>=0.12,<0.16,0.12,10.875,79,0.137658228
BYMA,>=0.16,<0.2,0.16,7.59375,79,0.096123418
