ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,Lw,S1,Hwi,TWAi,E,CULM_SL,CULM_CL,MAND_SL,MAND_CL,SCMi,NOTES,RECORDER
43,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,20.4,14.9,26.96078431,0.091188,--,--,--,--,--,--,right wing,KV
44,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,22.5,15.9,29.33333333,0.107325,--,3.96,4.7,2.16,2.5,6.12,left wing,KV
45,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,22.7,16.4,27.75330396,0.111684,--,--,--,--,--,--,right wing,KV
46,Carnegie MNH,P96478,YCPA,Amazona,ochrocephala,skin study,22.1,15.7,28.95927602,0.104091,--,3.78,4.4,2.38,2.2,6.16,left wing,KV
47,Carnegie MNH,P96478,YCPA,Amazona,ochrocephala,skin study,21.1,15.2,27.96208531,0.096216,--,--,--,--,--,--,right wing,KV
48,Carnegie MNH,S46388,YCPA,Amazona,ochrocephala,wing spread,22.8,15.6,31.57894737,0.106704,28.3,--,--,--,--,--,right wing,KV
49,Carnegie MNH,S14137,YCPA,Amazona,ochrocephala,wing spread,22,14.8,32.72727273,0.09768,27.8,--,--,--,--,--,left wing,KV
50,Carnegie MNH,S16178,YCPA,Amazona,ochrocephala,wing spread,22.6,15.1,33.18584071,0.102378,29,--,--,--,--,--,right wing,KV
51,Carnegie MNH,P42994,BYMA,Ara,ararauna,skin study,38.4,22,42.70833333,0.25344,--,7.25,8.5,3.84,4.1,11.09,left wing,KV
52,Carnegie MNH,P42994,BYMA,Ara,ararauna,skin study,38.1,22.3,41.46981627,0.254889,--,--,--,--,--,--,right wing,KV
53,Carnegie MNH,P38264,BYMA,Ara,ararauna,skin study,36.1,20,44.59833795,0.2166,--,6.77,7.9,4.16,4,10.93,left wing,KV
54,Carnegie MNH,P38264,BYMA,Ara,ararauna,skin study,36,21.4,40.55555556,0.23112,--,--,--,--,--,--,right wing,KV
55,Carnegie MNH,P38309,BYMA,Ara,ararauna,skin study,35.7,21.3,40.33613445,0.228123,--,6.19,7,3.64,3.5,9.83,left wing,KV
56,Carnegie MNH,P38309,BYMA,Ara,ararauna,skin study,36,20.9,41.94444444,0.22572,--,--,--,--,--,--,right wing,KV
57,Carnegie MNH,P43728,BYMA,Ara,ararauna,skin study,38,21,44.73684211,0.2394,--,6.33,7.5,3.24,3.5,9.57,left wing,KV
58,Carnegie MNH,P43728,BYMA,Ara,ararauna,skin study,36,21.6,40,0.23328,--,--,--,--,--,--,right wing,KV
59,Carnegie MNH,P33815,RGMA,Ara,chloropterus,skin study,40.2,24.1,40.04975124,0.290646,--,8.3,9.5,4.63,4.8,12.93,left wing,KV
60,Carnegie MNH,P33815,RGMA,Ara,chloropterus,skin study,40.3,25.8,35.98014888,0.311922,--,--,--,--,--,--,right wing,KV
61,Carnegie MNH,P36190,RGMA,Ara,chloropterus,skin study,38.8,23.4,39.69072165,0.272376,--,8.32,9.9,4.7,5,13.02,left wing,KV
62,Carnegie MNH,P36190,RGMA,Ara,chloropterus,skin study,39.1,22.4,42.71099744,0.262752,--,--,--,--,--,--,right wing,KV
63,Carnegie MNH,P42862,RGMA,Ara,chloropterus,skin study,38.6,22.9,40.67357513,0.265182,--,8.088,9.2,4.3,4.5,12.388,left wing,KV
64,Carnegie MNH,P42862,RGMA,Ara,chloropterus,skin study,38.2,23.1,39.52879581,0.264726,--,--,--,--,--,--,right wing,KV
65,Carnegie MNH,P44057,RGMA,Ara,chloropterus,skin study,38.9,24,38.3033419,0.28008,--,8.33,9.6,4.5,4.5,12.83,left wing,KV
66,Carnegie MNH,P44057,RGMA,Ara,chloropterus,skin study,38,23.8,37.36842105,0.27132,--,--,--,--,--,--,right wing,KV
67,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,37.6,22.6,39.89361702,0.254928,--,7.96,9.5,4.1,4.4,12.06,left wing,KV
68,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,37.8,22.9,39.41798942,0.259686,--,--,--,--,--,--,right wing,KV
69,Carnegie MNH,S11015,RGMA,Ara,chloropterus,wing spread,43.7,24,45.08009153,0.31464,51,--,--,--,--,--,left wing,KV
70,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,40.2,20.8,48.25870647,0.250848,--,7,8,3.7,3.8,10.7,left wing,KV
71,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,40.6,23.5,42.1182266,0.28623,--,--,--,--,--,--,right wing,KV
72,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,40,25,37.5,0.3,--,7.2,8.2,3.8,4,11,left wing,KV
73,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,40.2,24.5,39.05472637,0.29547,--,--,--,--,--,--,right wing,KV
