ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,NOTES,MORPH,MEASURE
295,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,right wing,wing_S1,5.300
296,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_S1,12.300
297,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_S1,12.100
298,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_S1,12.400
299,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_S1,12.200
300,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_S1,12.700
301,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_S1,12.100
302,Carnegie MNH,S11732,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_S1,11.500
303,Carnegie MNH,S14824,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_S1,11.700
304,Carnegie MNH,S15493,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_S1,11.800
305,Carnegie MNH,S15494,GRMA,Orthopsittaca,manilatus,wing spread,right wing,wing_S1,11.800
306,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,left wing,wing_S1,9.300
307,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,right wing,wing_S1,9.500
308,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,left wing,wing_S1,9.600
309,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,right wing,wing_S1,9.700
310,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,left wing,wing_S1,9.500
311,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,right wing,wing_S1,9.400
312,Carnegie MNH,S14378,0,Pionites,melanocephalus,wing spread,left wing,wing_S1,8.200
313,Carnegie MNH,S14823,0,Pionites,melanocephalus,wing spread,right wing,wing_S1,8.900
314,Carnegie MNH,S15576,0,Pionites,melanocephalus,wing spread,left wing,wing_S1,8.600
315,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,left wing,wing_S1,12.700
316,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,right wing,wing_S1,13.000
317,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,left wing,wing_S1,11.600
318,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,right wing,wing_S1,12.300
319,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,left wing,wing_S1,11.900
320,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,right wing,wing_S1,12.200
321,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,left wing,wing_S1,11.900
322,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,right wing,wing_S1,12.000
323,Carnegie MNH,S11335,BHPA,Pionus,menstruus,wing spread,left wing,wing_S1,11.000
324,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_S1,9.800
325,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_S1,9.700
326,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_S1,9.600
327,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_S1,9.600
328,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_S1,10.600
329,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_S1,10.000
330,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_S1,9.200
331,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_S1,9.700
335,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_S1,10.200
336,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_S1,9.700
337,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_S1,9.300
338,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_S1,9.800
339,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_S1,10.300
340,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_S1,11.000
341,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,left wing,wing_Hwi,33.065
342,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,right wing,wing_Hwi,32.510
343,Florida MNH,12524,BYMA,Ara,ararauna,skin study,right wing,wing_Hwi,38.500
344,Florida MNH,12524,BYMA,Ara,ararauna,skin study,left wing,wing_Hwi,39.506
345,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,right wing,wing_Hwi,41.772
346,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,left wing,wing_Hwi,40.506
347,Florida MNH,22116,SCMA,Ara,macao,wing spread,left wing,wing_Hwi,38.342
348,Florida MNH,4491,SCMA,Ara,macao,skin study,right wing,wing_Hwi,37.805
349,Florida MNH,4491,SCMA,Ara,macao,skin study,left wing,wing_Hwi,36.919
350,Florida MNH,15623,SCMA,Ara,macao,skin study,right wing,wing_Hwi,36.508
352,Florida MNH,37643,SCMA,Ara,macao,skin study,right wing,wing_Hwi,43.750
353,Florida MNH,37643,SCMA,Ara,macao,skin study,left wing,wing_Hwi,42.786
354,Florida MNH,22234,GRMA,Ara,severus,wing flat,right wing,wing_Hwi,44.275
355,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,44.828
356,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,42.953
357,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Hwi,38.793
358,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Hwi,37.931
359,Florida MNH,39658,WBPA,Pionites,leucogaster,skin study,right wing,wing_Hwi,30.216
360,Florida MNH,19167,OCPA,Pionopsitta,barrabandi,skin study,right wing,wing_Hwi,31.737
361,Florida MNH,19167,OCPA,Pionopsitta,barrabandi,skin study,left wing,wing_Hwi,33.735
363,Florida MNH,19166,BHPA,Pionus,menstruus,skin study,left wing,wing_Hwi,32.979
364,Florida MNH,19166,BHPA,Pionus,menstruus,skin study,right wing,wing_Hwi,33.854
365,Bishop Museum,185544,BYMA,Ara,ararauna,wing spread,left wing,wing_Hwi,45.335
366,Carnegie MNH,P33810,MEPA,Amazona,farinosa,skin study,left wing,wing_Hwi,26.068
367,Carnegie MNH,P33810,MEPA,Amazona,farinosa,skin study,right wing,wing_Hwi,27.917
368,Carnegie MNH,P32229,MEPA,Amazona,farinosa,skin study,left wing,wing_Hwi,28.270
369,Carnegie MNH,P32229,MEPA,Amazona,farinosa,skin study,right wing,wing_Hwi,27.426
370,Carnegie MNH,P61975,MEPA,Amazona,farinosa,skin study,left wing,wing_Hwi,28.571
371,Carnegie MNH,P61975,MEPA,Amazona,farinosa,skin study,right wing,wing_Hwi,28.631
372,Carnegie MNH,P67902,MEPA,Amazona,farinosa,skin study,left wing,wing_Hwi,27.426
373,Carnegie MNH,P67902,MEPA,Amazona,farinosa,skin study,right wing,wing_Hwi,27.966
376,Carnegie MNH,S11326,MEPA,Amazona,farinosa,wing spread,left wing,wing_Hwi,33.333
377,Carnegie MNH,S14152,MEPA,Amazona,farinosa,wing spread,left wing,wing_Hwi,32.500
378,Carnegie MNH,S14370,MEPA,Amazona,farinosa,wing spread,left wing,wing_Hwi,33.061
379,Carnegie MNH,S15502,MEPA,Amazona,farinosa,wing spread,left wing,wing_Hwi,32.245
380,Carnegie MNH,P60438,YCPA,Amazona,ochrocephala,skin study,left wing,wing_Hwi,28.509
381,Carnegie MNH,P60438,YCPA,Amazona,ochrocephala,skin study,right wing,wing_Hwi,32.444
382,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,left wing,wing_Hwi,28.641
383,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,right wing,wing_Hwi,26.961
384,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,left wing,wing_Hwi,29.333
385,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,right wing,wing_Hwi,27.753
386,Carnegie MNH,P96478,YCPA,Amazona,ochrocephala,skin study,left wing,wing_Hwi,28.959
387,Carnegie MNH,P96478,YCPA,Amazona,ochrocephala,skin study,right wing,wing_Hwi,27.962
388,Carnegie MNH,S46388,YCPA,Amazona,ochrocephala,wing spread,right wing,wing_Hwi,31.579
389,Carnegie MNH,S14137,YCPA,Amazona,ochrocephala,wing spread,left wing,wing_Hwi,32.727
390,Carnegie MNH,S16178,YCPA,Amazona,ochrocephala,wing spread,right wing,wing_Hwi,33.186
391,Carnegie MNH,P42994,BYMA,Ara,ararauna,skin study,left wing,wing_Hwi,42.708
392,Carnegie MNH,P42994,BYMA,Ara,ararauna,skin study,right wing,wing_Hwi,41.470
393,Carnegie MNH,P38264,BYMA,Ara,ararauna,skin study,left wing,wing_Hwi,44.598
394,Carnegie MNH,P38264,BYMA,Ara,ararauna,skin study,right wing,wing_Hwi,40.556
395,Carnegie MNH,P38309,BYMA,Ara,ararauna,skin study,left wing,wing_Hwi,40.336
396,Carnegie MNH,P38309,BYMA,Ara,ararauna,skin study,right wing,wing_Hwi,41.944
397,Carnegie MNH,P43728,BYMA,Ara,ararauna,skin study,left wing,wing_Hwi,44.737
398,Carnegie MNH,P43728,BYMA,Ara,ararauna,skin study,right wing,wing_Hwi,40.000
399,Carnegie MNH,P33815,RGMA,Ara,chloropterus,skin study,left wing,wing_Hwi,40.050
400,Carnegie MNH,P33815,RGMA,Ara,chloropterus,skin study,right wing,wing_Hwi,35.980
401,Carnegie MNH,P36190,RGMA,Ara,chloropterus,skin study,left wing,wing_Hwi,39.691
402,Carnegie MNH,P36190,RGMA,Ara,chloropterus,skin study,right wing,wing_Hwi,42.711
403,Carnegie MNH,P42862,RGMA,Ara,chloropterus,skin study,left wing,wing_Hwi,40.674
404,Carnegie MNH,P42862,RGMA,Ara,chloropterus,skin study,right wing,wing_Hwi,39.529
405,Carnegie MNH,P44057,RGMA,Ara,chloropterus,skin study,left wing,wing_Hwi,38.303
406,Carnegie MNH,P44057,RGMA,Ara,chloropterus,skin study,right wing,wing_Hwi,37.368
407,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,left wing,wing_Hwi,39.894
408,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,right wing,wing_Hwi,39.418
409,Carnegie MNH,S11015,RGMA,Ara,chloropterus,wing spread,left wing,wing_Hwi,45.080
410,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,left wing,wing_Hwi,48.259
411,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,right wing,wing_Hwi,42.118
412,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,left wing,wing_Hwi,37.500
413,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,right wing,wing_Hwi,39.055
414,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,left wing,wing_Hwi,44.750
415,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,right wing,wing_Hwi,40.640
416,Carnegie MNH,S12349,SCMA,Ara,macao,wing spread,left wing,wing_Hwi,41.067
417,Carnegie MNH,S17056,SCMA,Ara,macao,wing spread,left wing,wing_Hwi,40.541
418,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,left wing,wing_Hwi,40.417
419,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,right wing,wing_Hwi,38.494
420,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,left wing,wing_Hwi,41.079
421,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,right wing,wing_Hwi,41.393
422,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,left wing,wing_Hwi,39.749
423,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,right wing,wing_Hwi,40.586
424,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,left wing,wing_Hwi,38.589
425,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,right wing,wing_Hwi,39.167
426,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,left wing,wing_Hwi,40.816
427,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,right wing,wing_Hwi,40.909
428,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,40.602
429,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,44.828
430,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,47.143
431,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,45.775
432,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,44.853
433,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,42.105
434,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,44.444
435,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,45.890
436,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,44.604
437,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,48.148
438,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,45.522
439,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,44.203
440,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,42.657
441,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,41.667
442,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,left wing,wing_Hwi,44.056
443,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,right wing,wing_Hwi,43.796
446,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Hwi,37.903
447,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Hwi,41.270
448,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Hwi,36.697
449,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Hwi,36.449
450,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Hwi,42.241
451,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Hwi,40.000
452,Carnegie MNH,P143555,0,Brotogeris,tirica,skin study,left wing,wing_Hwi,40.336
453,Carnegie MNH,P143555,0,Brotogeris,tirica,skin study,right wing,wing_Hwi,40.678
454,Carnegie MNH,P143559,0,Brotogeris,tirica,skin study,left wing,wing_Hwi,42.373
455,Carnegie MNH,P143559,0,Brotogeris,tirica,skin study,right wing,wing_Hwi,40.000
456,Carnegie MNH,S7782,0,Brotogeris,tirica,wing spread,left wing,wing_Hwi,41.860
457,Carnegie MNH,S15755,0,Forpus,coelestis,wing spread,left wing,wing_Hwi,40.741
458,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,left wing,wing_Hwi,37.500
459,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,right wing,wing_Hwi,37.805
460,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,left wing,wing_Hwi,37.349
461,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,right wing,wing_Hwi,38.824
462,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,left wing,wing_Hwi,32.000
463,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,right wing,wing_Hwi,35.000
464,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,left wing,wing_Hwi,33.766
465,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,right wing,wing_Hwi,31.169
466,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_Hwi,42.791
467,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_Hwi,44.495
468,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_Hwi,49.593
469,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_Hwi,49.167
470,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_Hwi,41.204
471,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_Hwi,44.240
472,Carnegie MNH,S11732,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_Hwi,48.889
473,Carnegie MNH,S14824,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_Hwi,49.785
474,Carnegie MNH,S15493,GRMA,Orthopsittaca,manilatus,wing spread,left wing,wing_Hwi,51.240
475,Carnegie MNH,S15494,GRMA,Orthopsittaca,manilatus,wing spread,right wing,wing_Hwi,51.037
476,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,left wing,wing_Hwi,33.094
477,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,right wing,wing_Hwi,34.028
478,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,left wing,wing_Hwi,30.935
479,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,right wing,wing_Hwi,31.206
480,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,left wing,wing_Hwi,30.147
481,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,right wing,wing_Hwi,32.857
482,Carnegie MNH,S14378,0,Pionites,melanocephalus,wing spread,left wing,wing_Hwi,32.231
483,Carnegie MNH,S14823,0,Pionites,melanocephalus,wing spread,right wing,wing_Hwi,32.576
484,Carnegie MNH,S15576,0,Pionites,melanocephalus,wing spread,left wing,wing_Hwi,41.892
485,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,left wing,wing_Hwi,32.447
486,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,right wing,wing_Hwi,32.990
487,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,left wing,wing_Hwi,34.463
488,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,right wing,wing_Hwi,34.225
489,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,left wing,wing_Hwi,34.254
490,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,right wing,wing_Hwi,34.054
491,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,left wing,wing_Hwi,35.676
492,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,right wing,wing_Hwi,34.783
493,Carnegie MNH,S11335,BHPA,Pionus,menstruus,wing spread,left wing,wing_Hwi,39.227
494,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Hwi,41.667
495,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Hwi,41.566
496,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Hwi,41.818
497,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Hwi,41.463
498,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Hwi,41.436
499,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Hwi,46.524
500,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,left wing,wing_Hwi,42.857
501,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,right wing,wing_Hwi,41.566
505,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_Hwi,33.333
506,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_Hwi,36.184
507,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_Hwi,40.764
508,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_Hwi,37.975
509,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,left wing,wing_Hwi,37.952
510,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,right wing,wing_Hwi,32.099
535,Bishop Museum,185544,BYMA,Ara,ararauna,wing spread,left wing,E,49.210
546,Carnegie MNH,S11326,MEPA,Amazona,farinosa,wing spread,left wing,E,28.000
547,Carnegie MNH,S14152,MEPA,Amazona,farinosa,wing spread,left wing,E,29.500
548,Carnegie MNH,S14370,MEPA,Amazona,farinosa,wing spread,left wing,E,29.400
549,Carnegie MNH,S15502,MEPA,Amazona,farinosa,wing spread,left wing,E,31.000
558,Carnegie MNH,S46388,YCPA,Amazona,ochrocephala,wing spread,right wing,E,28.300
559,Carnegie MNH,S14137,YCPA,Amazona,ochrocephala,wing spread,left wing,E,27.800
560,Carnegie MNH,S16178,YCPA,Amazona,ochrocephala,wing spread,right wing,E,29.000
579,Carnegie MNH,S11015,RGMA,Ara,chloropterus,wing spread,left wing,E,51.000
586,Carnegie MNH,S12349,SCMA,Ara,macao,wing spread,left wing,E,46.300
587,Carnegie MNH,S17056,SCMA,Ara,macao,wing spread,left wing,E,53.000
614,Carnegie MNH,S14319,0,Aratinga,mitrata,wing spread,left wing,E,24.800
615,Carnegie MNH,S6633,0,Aratinga,solstitialis,wing spread,left wing,E,20.100
626,Carnegie MNH,S7782,0,Brotogeris,tirica,wing spread,left wing,E,12.300
627,Carnegie MNH,S15755,0,Forpus,coelestis,wing spread,left wing,E,9.400
642,Carnegie MNH,S11732,GRMA,Orthopsittaca,manilatus,wing spread,left wing,E,28.900
643,Carnegie MNH,S14824,GRMA,Orthopsittaca,manilatus,wing spread,left wing,E,31.500
644,Carnegie MNH,S15493,GRMA,Orthopsittaca,manilatus,wing spread,left wing,E,29.800
645,Carnegie MNH,S15494,GRMA,Orthopsittaca,manilatus,wing spread,right wing,E,30.700
652,Carnegie MNH,S14378,0,Pionites,melanocephalus,wing spread,left wing,E,16.500
653,Carnegie MNH,S14823,0,Pionites,melanocephalus,wing spread,right wing,E,19.100
654,Carnegie MNH,S15576,0,Pionites,melanocephalus,wing spread,left wing,E,17.500
663,Carnegie MNH,S11335,BHPA,Pionus,menstruus,wing spread,left wing,E,23.700
672,Carnegie MNH,S7063,0,Psittacula,krameri,wing spread,left wing,E,18.700
673,Carnegie MNH,S14126,0,Psittacula,alexandri,wing spread,right wing,E,19.600
674,Carnegie MNH,S11032,0,Psittacula,cyanocephala,wing spread,left wing,E,17.200
681,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,left wing,culmen_SL,3.740
683,Florida MNH,12524,BYMA,Ara,ararauna,skin study,right wing,culmen_SL,6.500
685,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,right wing,culmen_SL,6.400
688,Florida MNH,4491,SCMA,Ara,macao,skin study,right wing,culmen_SL,6.960
689,Florida MNH,4491,SCMA,Ara,macao,skin study,left wing,culmen_SL,6.233
692,Florida MNH,37643,SCMA,Ara,macao,skin study,right wing,culmen_SL,6.451
695,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,2.150
697,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,right wing,culmen_SL,1.800
699,Florida MNH,39658,WBPA,Pionites,leucogaster,skin study,right wing,culmen_SL,2.420
700,Florida MNH,19167,OCPA,Pionopsitta,barrabandi,skin study,right wing,culmen_SL,2.328
702,Florida MNH,12378,BHPA,Pionus,menstruus,skin study,right wing,culmen_SL,2.830
703,Florida MNH,19166,BHPA,Pionus,menstruus,skin study,left wing,culmen_SL,2.820
706,Carnegie MNH,P33810,MEPA,Amazona,farinosa,skin study,left wing,culmen_SL,3.530
708,Carnegie MNH,P32229,MEPA,Amazona,farinosa,skin study,left wing,culmen_SL,4.045
710,Carnegie MNH,P61975,MEPA,Amazona,farinosa,skin study,left wing,culmen_SL,4.000
712,Carnegie MNH,P67902,MEPA,Amazona,farinosa,skin study,left wing,culmen_SL,3.666
714,Carnegie MNH,P83121,MEPA,Amazona,farinosa,skin study,left wing,culmen_SL,4.220
720,Carnegie MNH,P60438,YCPA,Amazona,ochrocephala,skin study,left wing,culmen_SL,3.790
722,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,left wing,culmen_SL,3.750
724,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,left wing,culmen_SL,3.960
726,Carnegie MNH,P96478,YCPA,Amazona,ochrocephala,skin study,left wing,culmen_SL,3.780
731,Carnegie MNH,P42994,BYMA,Ara,ararauna,skin study,left wing,culmen_SL,7.250
733,Carnegie MNH,P38264,BYMA,Ara,ararauna,skin study,left wing,culmen_SL,6.770
735,Carnegie MNH,P38309,BYMA,Ara,ararauna,skin study,left wing,culmen_SL,6.190
737,Carnegie MNH,P43728,BYMA,Ara,ararauna,skin study,left wing,culmen_SL,6.330
739,Carnegie MNH,P33815,RGMA,Ara,chloropterus,skin study,left wing,culmen_SL,8.300
741,Carnegie MNH,P36190,RGMA,Ara,chloropterus,skin study,left wing,culmen_SL,8.320
743,Carnegie MNH,P42862,RGMA,Ara,chloropterus,skin study,left wing,culmen_SL,8.088
745,Carnegie MNH,P44057,RGMA,Ara,chloropterus,skin study,left wing,culmen_SL,8.330
747,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,left wing,culmen_SL,7.960
750,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,left wing,culmen_SL,7.000
752,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,left wing,culmen_SL,7.200
754,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,left wing,culmen_SL,7.210
758,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,left wing,culmen_SL,3.544
760,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,left wing,culmen_SL,3.600
762,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,left wing,culmen_SL,3.680
764,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,left wing,culmen_SL,3.490
766,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,left wing,culmen_SL,3.650
768,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,2.090
770,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,2.030
772,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,2.158
774,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,1.980
776,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,2.030
778,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,2.031
780,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,2.076
782,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,left wing,culmen_SL,1.990
786,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,left wing,culmen_SL,1.910
788,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,left wing,culmen_SL,1.700
790,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,left wing,culmen_SL,1.810
792,Carnegie MNH,P143555,0,Brotogeris,tirica,skin study,left wing,culmen_SL,1.700
794,Carnegie MNH,P143559,0,Brotogeris,tirica,skin study,left wing,culmen_SL,1.620
798,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,left wing,culmen_SL,1.000
