ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,NOTES,MORPH,MEASURE
68,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,right wing,wing_Lw,37.800
69,Carnegie MNH,S11015,RGMA,Ara,chloropterus,wing spread,left wing,wing_Lw,43.700
70,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,left wing,wing_Lw,40.200
71,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,right wing,wing_Lw,40.600
72,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,left wing,wing_Lw,40.000
73,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,right wing,wing_Lw,40.200
74,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,left wing,wing_Lw,40.000
75,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,right wing,wing_Lw,40.600
76,Carnegie MNH,S12349,SCMA,Ara,macao,wing spread,left wing,wing_Lw,37.500
77,Carnegie MNH,S17056,SCMA,Ara,macao,wing spread,left wing,wing_Lw,40.700
78,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,left wing,wing_Lw,24.000
79,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,right wing,wing_Lw,23.900
80,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,left wing,wing_Lw,24.100
81,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,right wing,wing_Lw,24.400
82,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,left wing,wing_Lw,23.900
83,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,right wing,wing_Lw,23.900
84,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,left wing,wing_Lw,24.100
85,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,right wing,wing_Lw,24.000
86,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,left wing,wing_Lw,24.500
87,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,right wing,wing_Lw,24.200
88,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,13.300
