DATE,TIME,TYPE,CAUSE,CATEGORY,ALARM
7/12/99,6:41,ccollpa,na,na,na
7/12/99,6:51,ccollpa,na,na,na
7/12/99,6:51,tree,na,na,na
7/12/99,8:26,tree,boat,human,na
7/12/99,8:26,ccollpa,boat,human,na
7/12/99,10:13,ccollpa,trail,human,na
7/12/99,10:13,tree,trail,human,na
7/12/99,10:39,ccollpa,trail,human,na
7/12/99,10:40,tree,trail,human,na
7/12/99,10:54,tree,trail,human,na
7/12/99,12:40,tree,na,na,na
7/12/99,12:40,ccollpa,na,na,na
7/13/99,6:23,ccollpa,na,na,na
7/13/99,6:29,ccollpa,na,na,na
7/13/99,6:39,ccollpa,na,na,na
7/13/99,6:44,ccollpa,na,na,na
7/13/99,6:48,ccollpa,na,na,na
7/13/99,6:52,ccollpa,na,na,na
7/13/99,6:56,ccollpa,na,na,na
7/13/99,6:56,tree,na,na,na
7/13/99,6:58,ccollpa,na,na,na
7/13/99,7:00,ccollpa,na,na,na
7/13/99,7:00,tree,na,na,na
7/13/99,7:01,ccollpa,na,na,na
7/13/99,7:02,ccollpa,na,na,na
7/13/99,7:05,ccollpa,na,na,na
7/13/99,7:05,tree,na,na,na
7/14/99,6:21,ccollpa,na,na,na
7/14/99,6:26,ccollpa,na,na,na
7/14/99,6:28,ccollpa,na,na,na
7/14/99,6:29,ccollpa,na,na,na
7/14/99,6:36,ccollpa,na,na,na
7/14/99,6:36,tree,na,na,na
7/14/99,6:40,ccollpa,na,na,na
7/14/99,6:43,ccollpa,na,na,na
7/14/99,6:48,ccollpa,na,na,na
7/14/99,6:52,ccollpa,na,na,na
7/14/99,7:00,ccollpa,na,na,na
7/14/99,7:04,ccollpa,na,na,na
7/14/99,7:13,ccollpa,na,na,na
7/14/99,9:18,tree,boat,human,na
7/14/99,9:29,tree,boat,human,na
7/14/99,10:59,tree,boat,human,na
7/14/99,11:03,tree,trail,human,na
7/14/99,13:13,tree,raptor,natural,na
7/14/99,13:36,tree,na,na,na
7/14/99,13:53,ccollpa,na,na,na
7/14/99,13:54,ccollpa,rockfall,natural,CWPA
7/14/99,13:59,ccollpa,na,na,na
7/14/99,14:03,ccollpa,na,na,na
7/14/99,15:01,ccollpa,na,na,Ara
7/14/99,15:36,ccollpa,rockfall,natural,na
7/14/99,15:46,ccollpa,na,na,na
7/20/99,6:39,tree,na,na,na
7/20/99,6:41,tree,na,na,na
7/20/99,6:51,tree,na,na,na
7/20/99,7:21,tree,na,na,na
7/20/99,7:38,tree,boat,human,na
7/20/99,11:04,tree,trail,human,na
7/20/99,11:37,ccollpa,na,na,na
7/20/99,11:56,ccollpa,na,na,na
7/20/99,11:58,tree,na,na,na
7/20/99,12:07,tree,boat,human,na
7/20/99,13:58,tree,raptor,natural,na
7/20/99,14:01,tree,raptor,natural,na
7/21/99,6:18,ccollpa,na,na,na
7/21/99,6:25,ccollpa,na,na,na
7/21/99,6:26,ccollpa,na,na,na
7/21/99,6:27,ccollpa,na,na,na
7/21/99,6:29,ccollpa,na,na,na
7/21/99,6:38,tree,na,na,na
7/21/99,6:50,tree,na,na,na
7/21/99,6:50,ccollpa,na,na,na
7/21/99,6:58,ccollpa,na,na,na
7/21/99,7:43,ccollpa,boat,human,na
7/21/99,9:05,tree,raptor,natural,na
7/21/99,12:04,tree,raptor,natural,na
7/21/99,13:13,ccollpa,rockfall,natural,na
7/22/99,6:22,tree,na,na,na
7/22/99,6:25,ccollpa,na,na,na
